Source,Target,Type,Rel 
_nickulya,novostinn,Directed,Retweet
_nickulya,novostispb,Directed,Retweet
_nickulya,riafanru,Directed,Retweet
_ruby_wills_,aaronallenall,Directed,Retweet
_ruby_wills_,andyhashtagger,Directed,Retweet
_ruby_wills_,arnoldparrk,Directed,Retweet
_ruby_wills_,d_andre_austin_,Directed,Retweet
_ruby_wills_,danageezus,Directed,Retweet
_ruby_wills_,diamondsl0veme,Directed,Retweet
_ruby_wills_,jacquelinisbest,Directed,Retweet
_ruby_wills_,julianna_yes,Directed,Retweet
_ruby_wills_,lou_galloway,Directed,Retweet
_ruby_wills_,pati_cooper,Directed,Retweet
_ruby_wills_,shannongibsonim,Directed,Retweet
angeloenough,_ruby_wills_,Directed,Retweet
guillnavarrete,_ruby_wills_,Directed,Retweet
_sashalapin,boeing_is_back,Directed,Retweet
_sashalapin,comradzampolit,Directed,Retweet
_sashalapin,krasilnikovbor,Directed,Retweet
_sashalapin,margosavazh,Directed,Retweet
_sashalapin,maxdementiev,Directed,Retweet
_sashalapin,nevnov_ru,Directed,Retweet
_sashalapin,novostidamask,Directed,Retweet
_sashalapin,novostikzn,Directed,Retweet
_sashalapin,novostinsk,Directed,Retweet
_sashalapin,novostirnd,Directed,Retweet
_sashalapin,politics_t0day,Directed,Retweet
_sashalapin,riafanru,Directed,Retweet
_sashalapin,russianallies,Directed,Retweet
_sashalapin,vestniktula,Directed,Retweet
_sashalapin,zubovnik,Directed,Retweet
bogdanovao2,_sashalapin,Directed,Retweet
briys_valera,_sashalapin,Directed,Retweet
glebnikon,_sashalapin,Directed,Retweet
gvardeykalena,_sashalapin,Directed,Retweet
ponomarevslav,_sashalapin,Directed,Retweet
razvedchica_,_sashalapin,Directed,Retweet
rogovilia,_sashalapin,Directed,Retweet
sergeyavdaev,_sashalapin,Directed,Retweet
sobolev_deniss,_sashalapin,Directed,Retweet
sovetnikstatski,_sashalapin,Directed,Retweet
vasilichvasili,_sashalapin,Directed,Retweet
viborisova,_sashalapin,Directed,Retweet
_siniy_tuman_,comradzampolit,Directed,Retweet
_siniy_tuman_,nikschehov,Directed,Retweet
_siniy_tuman_,novostimsk,Directed,Retweet
_siniy_tuman_,novostispb,Directed,Retweet
_siniy_tuman_,politvlast,Directed,Retweet
_siniy_tuman_,riafanru,Directed,Retweet
_siniy_tuman_,zubovnik,Directed,Retweet
_snowcakes_,novostiekb,Directed,Retweet
_snowcakes_,novostimsk,Directed,Retweet
_snowcakes_,riafanru,Directed,Retweet
_snowcakes_,zubovnik,Directed,Retweet
_sunny_sonny_,cychevmark,Directed,Retweet
_sunny_sonny_,davsiche,Directed,Retweet
_sunny_sonny_,golldor,Directed,Retweet
_sunny_sonny_,grishazubkov,Directed,Retweet
_sunny_sonny_,ilyazeludev,Directed,Retweet
_sunny_sonny_,lionovaa,Directed,Retweet
_sunny_sonny_,margoveller,Directed,Retweet
_sunny_sonny_,nadenkaavdeeva,Directed,Retweet
_sunny_sonny_,novostichel,Directed,Retweet
_sunny_sonny_,novostimsk,Directed,Retweet
_sunny_sonny_,novostinn,Directed,Retweet
_sunny_sonny_,novostiomska,Directed,Retweet
_sunny_sonny_,novostispb,Directed,Retweet
_sunny_sonny_,novostiuf,Directed,Retweet
_sunny_sonny_,oeterpri,Directed,Retweet
_sunny_sonny_,politvlast,Directed,Retweet
_sunny_sonny_,reznik_eliza,Directed,Retweet
_sunny_sonny_,riafanru,Directed,Retweet
_sunny_sonny_,ruseye,Directed,Retweet
_sunny_sonny_,teodor_fm_,Directed,Retweet
_sunny_sonny_,velickayayekat,Directed,Retweet
_sunny_sonny_,vitanosova,Directed,Retweet
_sunny_sonny_,vlenelenav,Directed,Retweet
_sunny_sonny_,vunona,Directed,Retweet
aaavadakedavraa,batman_bane,Directed,Retweet
aaavadakedavraa,essykrac,Directed,Retweet
aaavadakedavraa,maxdementiev,Directed,Retweet
aaavadakedavraa,novostiekb,Directed,Retweet
aaavadakedavraa,novostispb,Directed,Retweet
aaavadakedavraa,riafanru,Directed,Retweet
aaavadakedavraa,zubovnik,Directed,Retweet
aagn1aa,batman_bane,Directed,Retweet
aagn1aa,marisha_zu,Directed,Retweet
aagn1aa,politvlast,Directed,Retweet
aagn1aa,riafanru,Directed,Retweet
aagn1aa,zubovnik,Directed,Retweet
aantiracist,blacktivists,Directed,Retweet
aantiracist,ilovesarahrich,Directed,Retweet
aantiracist,susayung,Directed,Retweet
