screen_name,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
rafidenchannel,0,0,0,0,0,8
YouTube,0,1,1,1,1128,2
ShalgheenSaad,0,0,0,0,0,3
News_From_Syria,0,0,0,0,0,3
shalgheen,0,0,0,0,0,3
Martinasaenz_97,0,0,0,0,0,3
Randy_Haas,0,0,0,0,0,3
RachelKraft10,0,0,0,0,0,3
britneyspears,0,0,0,0,0,3
thedeaddontdie,0,0,0,0,0,3
JimJarmusch,0,0,0,0,0,3
sarab303,0,0,0,0,0,3
YougleFact,0,0,0,0,0,3
AlexanderSabri3,0,0,0,0,0,3
naeemmughal753,0,0,0,0,0,3
Presidency_Sy,0,0,0,0,0,3
Dreiko68118047,0,0,0,0,0,3
oxfootpantyhose,0,0,0,0,0,3
duljc,0,0,0,0,0,3
KristenKobandt,0,0,0,0,0,3
drwhamilton3,0,0,0,0,0,3
swo2212,0,0,0,0,0,3
AxlySuregrip,0,0,0,0,0,3
Racqel_Darrian,0,0,0,0,0,3
SexiestSlutties,0,0,0,0,0,3
dantesinfie,0,0,0,0,0,3
kokoroco25,0,0,0,0,0,3
topmode91043035,0,0,0,0,0,3
Wowsosexygirls,0,0,0,0,0,3
MilePicsApp,0,0,0,0,0,3
AmA2jena1,0,0,0,0,0,3
616Jordanp69,0,0,0,0,0,3
S_Lcorey1,0,0,0,0,0,3
xxJust4Funxxx,0,0,0,0,0,3
sluttyx1,0,0,0,0,0,3
MySexyGirlsPics,0,0,0,0,0,3
DailyFlik,0,0,0,0,0,3
Yasmeenassad3,0,0,0,0,0,3
Lavender_Odor,0,0,0,0,0,10
Maytham_ALzaidy,0,0,0,0,0,0
Mu_AlSadr,0,0,0,0,0,0
NourNourabd5,0,0,0,0,0,0
hanansmohsin,0,0,0,0,0,0
imamhussainorg,0,0,0,0,0,0
YounisMahmoud10,0,0,0,0,0,0
alsumariatv,0,0,0,0,0,33
anaamalabadi,0,0,0,0,0,0
ashs123456,0,2,0.953846,0.975806,776.761172,6
uaremayo2,0,1,1,1,262.75,18
DO2uultMuCexSXq,0,4,0.339071,0.423858,344.4,0
Dr_Al_Hamdani,0,2,0.57971,0.6375,252.753852,6
AlHaLboosii,0,3,0.517483,0.547297,698.539286,17
Al_thawaq,0,0,0,0,0,19
Sofee_Safsaf,0,6,0.331034,0.421721,1020.638095,4
